a,1,10,of King Harold Fairhair that ,man brought his ship to 
a,1,25,name being Hallfreðr Breiðdal is ,countryside down below that of 
a,1,51,was then fifteen winters old ,hopeful man and a goodly 
a,1,55,old a hopeful man and ,goodly Hallfreðr set up household 
a,1,69,of the winter there died ,servant-maid of foreign kin whose 
a,1,99,the heath and set up ,home at a place called 
a,1,102,set up a home at ,place called Geitdalr One night 
a,1,113,he dreamt that there came ,man to him and said 
a,1,157,Rangá into the Tongue to ,spot which has since been 
a,1,170,and there he dwelt into ,good old age In breaking 
a,1,182,from Geitdalr he had left ,goat and a buck behind 
a,1,185,had left a goat and ,buck behind and the same 
across,1,131,flit thy house away west ,the Lagarfljót for there all 
across,1,151,flitted his belongings down valley ,Rangá into the Tongue to 
age,1,173,dwelt into a good old ,In breaking up from Geitdalr 
all,1,136,across the Lagarfljót for there ,thy good luck awaits thee 
an,1,195,same day that Hallfreðr left ,earthslip struck the house and 
and,1,39,his ship was his wife ,son who was hight Hrafnkell 
and,1,54,winters old a hopeful man ,a goodly Hallfreðr set up 
and,1,96,house northward over the heath ,set up a home at 
and,1,117,came a man to him ,said There liest thou Hallfreðr 
and,1,123,said There liest thou Hallfreðr ,rather unwarily flit thy house 
and,1,145,awaits thee Thereupon he awoke ,flitted his belongings down valley 
and,1,165,has since been called Hallfreðr-staðir ,there he dwelt into a 
and,1,184,he had left a goat ,a buck behind and the 
and,1,188,goat and a buck behind ,the same day that Hallfreðr 
and,1,200,an earthslip struck the house ,there these two creatures were 
Arnthruðr-staðir,1,84,the name of the place ,In the spring Hallfreðr moved 
Arnthrúðr,1,77,foreign kin whose name was ,hence the name of the 
at,1,101,and set up a home ,a place called Geitdalr One 
awaits,1,140,there all thy good luck ,thee Thereupon he awoke and 
away,1,129,rather unwarily flit thy house ,west across the Lagarfljót for 
awoke,1,144,luck awaits thee Thereupon he ,and flitted his belongings down 
been,1,162,a spot which has since ,called Hallfreðr-staðir and there he 
behind,1,187,a goat and a buck ,and the same day that 
being,1,21,Iceland into Breiðdal his name ,Hallfreðr Breiðdal is a countryside 
belongings,1,148,he awoke and flitted his ,down valley across Rangá into 
below,1,28,Breiðdal is a countryside down ,that of Fljótsdalr On board 
board,1,33,below that of Fljótsdalr On ,his ship was his wife 
borne,1,215,Geitdalr which this place has ,ever since 
breaking,1,175,a good old age In ,up from Geitdalr he had 
Breiðdal,1,18,his ship to Iceland into ,his name being Hallfreðr Breiðdal 
Breiðdal,1,23,Breiðdal his name being Hallfreðr ,is a countryside down below 
brought,1,12,Harold Fairhair that a man ,his ship to Iceland into 
buck,1,186,left a goat and a ,behind and the same day 
called,1,104,a home at a place ,Geitdalr One night he dreamt 
called,1,163,spot which has since been ,Hallfreðr-staðir and there he dwelt 
came,1,112,night he dreamt that there ,a man to him and 
countryside,1,26,being Hallfreðr Breiðdal is a ,down below that of Fljótsdalr 
course,1,63,set up household In the ,of the winter there died 
creatures,1,204,house and there these two ,were lost Hence the name 
day,1,191,buck behind and the same ,that Hallfreðr left an earthslip 
days,1,4,It was in the ,of King Harold Fairhair that 
died,1,68,course of the winter there ,a servant-maid of foreign kin 
down,1,27,Hallfreðr Breiðdal is a countryside ,below that of Fljótsdalr On 
down,1,149,awoke and flitted his belongings ,valley across Rangá into the 
dreamt,1,109,called Geitdalr One night he ,that there came a man 
dwelt,1,168,called Hallfreðr-staðir and there he ,into a good old age 
earthslip,1,196,day that Hallfreðr left an ,struck the house and there 
ever,1,216,which this place has borne ,since 
Fairhair,1,8,the days of King Harold ,that a man brought his 
fifteen,1,48,hight Hrafnkell who was then ,winters old a hopeful man 
flit,1,126,thou Hallfreðr and rather unwarily ,thy house away west across 
flitted,1,146,thee Thereupon he awoke and ,his belongings down valley across 
Fljótsdalr,1,31,countryside down below that of ,On board his ship was 
for,1,134,away west across the Lagarfljót ,there all thy good luck 
foreign,1,72,there died a servant-maid of ,kin whose name was Arnthrúðr 
from,1,177,old age In breaking up ,Geitdalr he had left a 
Geitdalr,1,105,home at a place called ,One night he dreamt that 
Geitdalr,1,178,age In breaking up from ,he had left a goat 
Geitdalr,1,210,were lost Hence the name ,which this place has borne 
goat,1,183,Geitdalr he had left a ,and a buck behind and 
good,1,138,Lagarfljót for there all thy ,luck awaits thee Thereupon he 
good,1,171,there he dwelt into a ,old age In breaking up 
goodly,1,56,a hopeful man and a ,Hallfreðr set up household In 
had,1,180,breaking up from Geitdalr he ,left a goat and a 
Hallfreðr,1,22,into Breiðdal his name being ,Breiðdal is a countryside down 
Hallfreðr,1,57,hopeful man and a goodly ,set up household In the 
Hallfreðr,1,88,place Arnthruðr-staðir In the spring ,moved his house northward over 
Hallfreðr,1,122,and said There liest thou ,and rather unwarily flit thy 
Hallfreðr,1,193,and the same day that ,left an earthslip struck the 
Hallfreðr-staðir,1,164,which has since been called ,and there he dwelt into 
Harold,1,7,in the days of King ,Fairhair that a man brought 
has,1,160,Tongue to a spot which ,since been called Hallfreðr-staðir and 
has,1,214,name Geitdalr which this place ,borne ever since 
he,1,108,place called Geitdalr One night ,dreamt that there came a 
he,1,143,good luck awaits thee Thereupon ,awoke and flitted his belongings 
he,1,167,been called Hallfreðr-staðir and there ,dwelt into a good old 
